E_center_MeV,PDF_per_MeV
1.077913e-11,0.000000e+00
1.252422e-11,0.000000e+00
1.455184e-11,0.000000e+00
1.690771e-11,0.000000e+00
1.964500e-11,0.000000e+00
2.282544e-11,0.000000e+00
2.652078e-11,0.000000e+00
3.081438e-11,0.000000e+00
3.580309e-11,0.000000e+00
4.159945e-11,0.000000e+00
4.833422e-11,0.000000e+00
5.615932e-11,0.000000e+00
6.525127e-11,0.000000e+00
7.581517e-11,0.000000e+00
8.808931e-11,0.000000e+00
1.023506e-10,0.000000e+00
1.189207e-10,0.000000e+00
1.381734e-10,0.000000e+00
1.605431e-10,0.000000e+00
1.865343e-10,0.000000e+00
2.167334e-10,0.000000e+00
2.518216e-10,0.000000e+00
2.925905e-10,0.000000e+00
3.399596e-10,0.000000e+00
3.949976e-10,0.000000e+00
4.589459e-10,0.000000e+00
5.332473e-10,0.000000e+00
6.195777e-10,0.000000e+00
7.198846e-10,0.000000e+00
8.364308e-10,0.000000e+00
9.718453e-10,0.000000e+00
1.129183e-09,0.000000e+00
1.311993e-09,0.000000e+00
1.524398e-09,0.000000e+00
1.771192e-09,0.000000e+00
2.057940e-09,0.000000e+00
2.391112e-09,0.000000e+00
2.778222e-09,0.000000e+00
3.228004e-09,0.000000e+00
3.750604e-09,0.000000e+00
4.357810e-09,0.000000e+00
5.063321e-09,0.000000e+00
5.883050e-09,0.000000e+00
6.835490e-09,0.000000e+00
7.942126e-09,0.000000e+00
9.227922e-09,0.000000e+00
1.072188e-08,0.000000e+00
1.245771e-08,0.000000e+00
1.447456e-08,0.000000e+00
1.681792e-08,0.000000e+00
1.954067e-08,0.000000e+00
2.270422e-08,0.000000e+00
2.637994e-08,2.516615e+08
3.065073e-08,0.000000e+00
3.561295e-08,0.000000e+00
4.137853e-08,0.000000e+00
4.807754e-08,0.000000e+00
5.586108e-08,0.000000e+00
6.490475e-08,0.000000e+00
7.541254e-08,0.000000e+00
8.762150e-08,0.000000e+00
1.018070e-07,0.000000e+00
1.182892e-07,0.000000e+00
1.374397e-07,0.000000e+00
1.596905e-07,0.000000e+00
1.855437e-07,0.000000e+00
2.155824e-07,0.000000e+00
2.504843e-07,0.000000e+00
2.910366e-07,0.000000e+00
3.381542e-07,0.000000e+00
3.928999e-07,0.000000e+00
4.565086e-07,0.000000e+00
5.304154e-07,0.000000e+00
