E_center_MeV,counts,err_plus,err_minus
1.077913e-11,0,0.000000e+00,0.000000e+00
1.252422e-11,0,0.000000e+00,0.000000e+00
1.455184e-11,0,0.000000e+00,0.000000e+00
1.690771e-11,0,0.000000e+00,0.000000e+00
1.964500e-11,0,0.000000e+00,0.000000e+00
2.282544e-11,0,0.000000e+00,0.000000e+00
2.652078e-11,0,0.000000e+00,0.000000e+00
3.081438e-11,0,0.000000e+00,0.000000e+00
3.580309e-11,0,0.000000e+00,0.000000e+00
4.159945e-11,0,0.000000e+00,0.000000e+00
4.833422e-11,0,0.000000e+00,0.000000e+00
5.615932e-11,0,0.000000e+00,0.000000e+00
6.525127e-11,0,0.000000e+00,0.000000e+00
7.581517e-11,0,0.000000e+00,0.000000e+00
8.808931e-11,0,0.000000e+00,0.000000e+00
1.023506e-10,0,0.000000e+00,0.000000e+00
1.189207e-10,0,0.000000e+00,0.000000e+00
1.381734e-10,0,0.000000e+00,0.000000e+00
1.605431e-10,0,0.000000e+00,0.000000e+00
1.865343e-10,0,0.000000e+00,0.000000e+00
2.167334e-10,0,0.000000e+00,0.000000e+00
2.518216e-10,0,0.000000e+00,0.000000e+00
2.925905e-10,0,0.000000e+00,0.000000e+00
3.399596e-10,0,0.000000e+00,0.000000e+00
3.949976e-10,0,0.000000e+00,0.000000e+00
4.589459e-10,0,0.000000e+00,0.000000e+00
5.332473e-10,0,0.000000e+00,0.000000e+00
6.195777e-10,2,1.414214e+00,1.414214e+00
7.198846e-10,0,0.000000e+00,0.000000e+00
8.364308e-10,0,0.000000e+00,0.000000e+00
9.718453e-10,1,1.000000e+00,1.000000e+00
1.129183e-09,0,0.000000e+00,0.000000e+00
1.311993e-09,1,1.000000e+00,1.000000e+00
1.524398e-09,3,1.732051e+00,1.732051e+00
1.771192e-09,2,1.414214e+00,1.414214e+00
2.057940e-09,3,1.732051e+00,1.732051e+00
2.391112e-09,4,2.000000e+00,2.000000e+00
2.778222e-09,7,2.645751e+00,2.645751e+00
3.228004e-09,7,2.645751e+00,2.645751e+00
3.750604e-09,6,2.449490e+00,2.449490e+00
4.357810e-09,14,3.741657e+00,3.741657e+00
5.063321e-09,26,5.099020e+00,5.099020e+00
5.883050e-09,25,5.000000e+00,5.000000e+00
6.835490e-09,42,6.480741e+00,6.480741e+00
7.942126e-09,46,6.782330e+00,6.782330e+00
9.227922e-09,71,8.426150e+00,8.426150e+00
1.072188e-08,73,8.544004e+00,8.544004e+00
1.245771e-08,102,1.009950e+01,1.009950e+01
1.447456e-08,134,1.157584e+01,1.157584e+01
1.681792e-08,189,1.374773e+01,1.374773e+01
1.954067e-08,180,1.341641e+01,1.341641e+01
2.270422e-08,212,1.456022e+01,1.456022e+01
2.637994e-08,285,1.688194e+01,1.688194e+01
3.065073e-08,372,1.928730e+01,1.928730e+01
3.561295e-08,393,1.982423e+01,1.982423e+01
4.137853e-08,432,2.078461e+01,2.078461e+01
4.807754e-08,458,2.140093e+01,2.140093e+01
5.586108e-08,445,2.109502e+01,2.109502e+01
6.490475e-08,454,2.130728e+01,2.130728e+01
7.541254e-08,416,2.039608e+01,2.039608e+01
8.762150e-08,370,1.923538e+01,1.923538e+01
1.018070e-07,278,1.667333e+01,1.667333e+01
1.182892e-07,211,1.452584e+01,1.452584e+01
1.374397e-07,166,1.288410e+01,1.288410e+01
1.596905e-07,78,8.831761e+00,8.831761e+00
1.855437e-07,59,7.681146e+00,7.681146e+00
2.155824e-07,37,6.082763e+00,6.082763e+00
2.504843e-07,13,3.605551e+00,3.605551e+00
2.910366e-07,30,5.477226e+00,5.477226e+00
3.381542e-07,29,5.385165e+00,5.385165e+00
3.928999e-07,22,4.690416e+00,4.690416e+00
4.565086e-07,18,4.242641e+00,4.242641e+00
5.304154e-07,17,4.123106e+00,4.123106e+00
6.162873e-07,17,4.123106e+00,4.123106e+00
7.160615e-07,23,4.795832e+00,4.795832e+00
8.319888e-07,27,5.196152e+00,5.196152e+00
9.666841e-07,23,4.795832e+00,4.795832e+00
1.123186e-06,16,4.000000e+00,4.000000e+00
1.305025e-06,19,4.358899e+00,4.358899e+00
1.516303e-06,20,4.472136e+00,4.472136e+00
1.761786e-06,12,3.464102e+00,3.464102e+00
2.047011e-06,23,4.795832e+00,4.795832e+00
2.378413e-06,17,4.123106e+00,4.123106e+00
2.763468e-06,23,4.795832e+00,4.795832e+00
3.210861e-06,13,3.605551e+00,3.605551e+00
3.730686e-06,25,5.000000e+00,5.000000e+00
4.334667e-06,18,4.242641e+00,4.242641e+00
5.036431e-06,17,4.123106e+00,4.123106e+00
5.851807e-06,26,5.099020e+00,5.099020e+00
6.799189e-06,20,4.472136e+00,4.472136e+00
7.899948e-06,27,5.196152e+00,5.196152e+00
9.178915e-06,22,4.690416e+00,4.690416e+00
1.066494e-05,26,5.099020e+00,5.099020e+00
1.239155e-05,27,5.196152e+00,5.196152e+00
1.439769e-05,16,4.000000e+00,4.000000e+00
1.672861e-05,16,4.000000e+00,4.000000e+00
1.943690e-05,21,4.582576e+00,4.582576e+00
